SOURCE,COMMODITY,COUNTRY,TYPE,UNIT_MEAS,PROD_2023,PROD_EST_ 2024,PROD_NOTES,CAP_2023,CAP_EST_ 2024,CAP_NOTES,RESERVES_2024,RESERVE_NOTES,RESERVES_2024_CLEAN,COUNTRY_CLEAN
MCS2025,Aluminum,Canada ,"Smelter production, aluminum",thousand metric tons,3200.0,3300.0,estimated 2023,3270.0,3270.0,,,,,Canada
MCS2025,Aluminum,China,"Smelter production, aluminum",thousand metric tons,41600.0,43000.0,,44400.0,44700.0,,,,,China
MCS2025,Aluminum,Iceland,"Smelter production, aluminum",thousand metric tons,770.0,780.0,estimated 2023,880.0,880.0,,,,,Iceland
MCS2025,Aluminum,India,"Smelter production, aluminum",thousand metric tons,4100.0,4200.0,estimated 2023,4100.0,4200.0,,,,,India
MCS2025,Aluminum,Malaysia,"Smelter production, aluminum",thousand metric tons,940.0,870.0,estimated 2023,1080.0,1080.0,,,,,Malaysia
MCS2025,Aluminum,Norway,"Smelter production, aluminum",thousand metric tons,1300.0,1300.0,estimated 2023,1460.0,1460.0,,,,,Norway
MCS2025,Aluminum,Russia ,"Smelter production, aluminum",thousand metric tons,3700.0,3800.0,estimated 2023,4080.0,4080.0,,,,,Russia
MCS2025,Aluminum,United Arab Emirates,"Smelter production, aluminum",thousand metric tons,2660.0,2700.0,,2790.0,2790.0,,,,,United Arab Emirates
MCS2025,Antimony,United States,"Mine production, antimony content",metric tons,,,,,,,60000,Company-reported probable reserves for Stibnite Gold Project in Idaho,60000.0,United States
MCS2025,Antimony,Australia,"Mine production, antimony content",metric tons,1860.0,2000.0,,,,,140000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 20,000 tons.",140000.0,Australia
MCS2025,Antimony,Bolivia,"Mine production, antimony content",metric tons,3700.0,3700.0,,,,,310000,,310000.0,Bolivia
MCS2025,Antimony,Burma,"Mine production, antimony content",metric tons,4500.0,4500.0,,,,,140000,,140000.0,Burma
MCS2025,Antimony,Canada ,"Mine production, antimony content",metric tons,,,,,,,78000,,78000.0,Canada
MCS2025,Antimony,China,"Mine production, antimony content",metric tons,62300.0,60000.0,estimated 2023,,,,670000,,670000.0,China
MCS2025,Antimony,Guatemala,"Mine production, antimony content",metric tons,49.0,50.0,,,,,,,,Guatemala
MCS2025,Antimony,Iran,"Mine production, antimony content",metric tons,500.0,500.0,estimated 2023,,,,,,,Iran
MCS2025,Antimony,Kazakhstan,"Mine production, antimony content",metric tons,40.0,40.0,estimated 2023,,,,,,,Kazakhstan
MCS2025,Antimony,Kyrgyzstan,"Mine production, antimony content",metric tons,20.0,20.0,,,,,260000,,260000.0,Kyrgyzstan
MCS2025,Antimony,Laos,"Mine production, antimony content",metric tons,200.0,200.0,estimated 2023,,,,,,,Laos
MCS2025,Antimony,Mexico,"Mine production, antimony content",metric tons,800.0,800.0,,,,,18000,,18000.0,Mexico
MCS2025,Antimony,Pakistan,"Mine production, antimony content",metric tons,250.0,250.0,,,,,26000,,26000.0,Pakistan
MCS2025,Antimony,Russia ,"Mine production, antimony content",metric tons,13000.0,13000.0,,,,,350000,,350000.0,Russia
MCS2025,Antimony,Tajikistan,"Mine production, antimony content",metric tons,17000.0,17000.0,,,,,50000,,50000.0,Tajikistan
MCS2025,Antimony,Turkey,"Mine production, antimony content",metric tons,1600.0,1600.0,estimated 2023,,,,99000,,99000.0,Turkey
MCS2025,Antimony,Vietnam,"Mine production, antimony content",metric tons,300.0,300.0,,,,,54000,,54000.0,Vietnam
MCS2025,Arsenic,United States,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,,,,,,,,,,United States
MCS2025,Arsenic,Belgium,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,1000.0,1000.0,,,1500.0,,,,,Belgium
MCS2025,Arsenic,China,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,24000.0,24000.0,,,30000.0,,,,,China
MCS2025,Arsenic,Japan,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,40.0,40.0,estimated 2023,,60.0,,,,,Japan
MCS2025,Arsenic,Morocco,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,6000.0,6000.0,,,8000.0,,,,,Morocco
MCS2025,Arsenic,Peru,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,30000.0,27000.0,,,37000.0,,,,,Peru
MCS2025,Arsenic,Russia ,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,500.0,200.0,estimated 2023,,4000.0,,,,,Russia
MCS2025,Asbestos,United States,"Mine production, asbestos",metric tons,,,,,,,,Small,,United States
MCS2025,Asbestos,Brazil,"Mine production, asbestos",metric tons,189000.0,160000.0,"Export sales reported by the only producer of asbestos in Brazil. In February 2023, the Supreme Federal Court of Brazil confirmed a 2017 judgment that the extraction, sale, and use of asbestos were unconstitutional. Despite the ruling, a company in Brazil continued to mine asbestos, citing the authority of a State law that authorized extraction and processing for export purposes.",,,,11000000,,11000000.0,Brazil
MCS2025,Asbestos,China,"Mine production, asbestos",metric tons,200000.0,200000.0,estimated 2023,,,,18000000,,18000000.0,China
MCS2025,Asbestos,Kazakhstan,"Mine production, asbestos",metric tons,255000.0,210000.0,,,,,,Large,,Kazakhstan
MCS2025,Asbestos,Russia ,"Mine production, asbestos",metric tons,600000.0,600000.0,,,,,110000000,,110000000.0,Russia
MCS2025,Barite,United States,"Mine production, barite, estimated",thousand metric tons,,,W for 23-24,,,,,,,United States
MCS2025,Barite,China,"Mine production, barite, estimated",thousand metric tons,2000.0,2100.0,,,,,110000,,110000.0,China
MCS2025,Barite,India,"Mine production, barite, estimated",thousand metric tons,2600.0,2600.0,,,,,51000,,51000.0,India
MCS2025,Barite,Iran,"Mine production, barite, estimated",thousand metric tons,300.0,310.0,,,,,100000,,100000.0,Iran
MCS2025,Barite,Kazakhstan,"Mine production, barite, estimated",thousand metric tons,650.0,650.0,,,,,85000,,85000.0,Kazakhstan
MCS2025,Barite,Laos,"Mine production, barite, estimated",thousand metric tons,300.0,300.0,,,,,,,,Laos
MCS2025,Barite,Mexico,"Mine production, barite, estimated",thousand metric tons,320.0,330.0,,,,,,,,Mexico
MCS2025,Barite,Morocco,"Mine production, barite, estimated",thousand metric tons,1000.0,1000.0,,,,,,,,Morocco
MCS2025,Barite,Pakistan,"Mine production, barite, estimated",thousand metric tons,130.0,130.0,,,,,,,,Pakistan
MCS2025,Barite,Russia ,"Mine production, barite, estimated",thousand metric tons,250.0,250.0,,,,,12000,,12000.0,Russia
MCS2025,Barite,Turkey,"Mine production, barite, estimated",thousand metric tons,216.0,220.0,Reported.,,,,34000,,34000.0,Turkey
MCS2025,Bauxite,United States,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,850.0,720.0,estimated 2023,,,,,,,United States
MCS2025,Bauxite,Australia,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,18800.0,18000.0,,,,,,,,Australia
MCS2025,Bauxite,Brazil,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,11000.0,11000.0,estimated 2023,,,,,,,Brazil
MCS2025,Bauxite,Canada ,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1500.0,1500.0,,,,,,,,Canada
MCS2025,Bauxite,China,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,82400.0,84000.0,,,,,,,,China
MCS2025,Bauxite,Germany,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,900.0,960.0,estimated 2023,,,,,,,Germany
MCS2025,Bauxite,Greece,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,869.0,860.0,,,,,,,,Greece
MCS2025,Bauxite,Guinea,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,273.0,300.0,,,,,,,,Guinea
MCS2025,Bauxite,India,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,7500.0,7600.0,estimated 2023,,,,,,,India
MCS2025,Bauxite,Indonesia,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1200.0,1300.0,estimated 2023,,,,,,,Indonesia
MCS2025,Bauxite,Ireland,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1380.0,1600.0,,,,,,,,Ireland
MCS2025,Bauxite,Jamaica,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1400.0,1500.0,,,,,,,,Jamaica
MCS2025,Bauxite,Kazakhstan,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1300.0,1400.0,,,,,,,,Kazakhstan
MCS2025,Bauxite,Russia ,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,3020.0,2900.0,,,,,,,,Russia
MCS2025,Bauxite,Saudi Arabia,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1830.0,1800.0,,,,,,,,Saudi Arabia
MCS2025,Bauxite,Spain,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,716.0,820.0,,,,,,,,Spain
MCS2025,Bauxite,Turkey,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,300.0,320.0,,,,,,,,Turkey
MCS2025,Bauxite,United Arab Emirates,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,2480.0,2400.0,,,,,,,,United Arab Emirates
MCS2025,Bauxite,Vietnam,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1490.0,1500.0,,,,,,,,Vietnam
MCS2025,Bauxite,United States,"Mine production, bauxite, dry tons",thousand metric dry tons,,,W for 23-24,,,,20000,,20000.0,United States
MCS2025,Bauxite,Australia,"Mine production, bauxite, dry tons",thousand metric dry tons,104000.0,100000.0,,,,,3500000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 1.6 billion tons.",3500000.0,Australia
MCS2025,Bauxite,Brazil,"Mine production, bauxite, dry tons",thousand metric dry tons,32000.0,33000.0,estimated 2023,,,,2700000,,2700000.0,Brazil
MCS2025,Bauxite,Canada ,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,,,Canada
MCS2025,Bauxite,China,"Mine production, bauxite, dry tons",thousand metric dry tons,91000.0,93000.0,estimated 2023,,,,680000,,680000.0,China
MCS2025,Bauxite,Germany,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,,,Germany
MCS2025,Bauxite,Greece,"Mine production, bauxite, dry tons",thousand metric dry tons,1200.0,1200.0,estimated 2023,,,,,,,Greece
MCS2025,Bauxite,Guinea,"Mine production, bauxite, dry tons",thousand metric dry tons,123000.0,130000.0,,,,,7400000,,7400000.0,Guinea
MCS2025,Bauxite,India,"Mine production, bauxite, dry tons",thousand metric dry tons,23400.0,25000.0,,,,,650000,,650000.0,India
MCS2025,Bauxite,Indonesia,"Mine production, bauxite, dry tons",thousand metric dry tons,30000.0,32000.0,estimated 2023,,,,2800000,,2800000.0,Indonesia
MCS2025,Bauxite,Ireland,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,,,Ireland
MCS2025,Bauxite,Jamaica,"Mine production, bauxite, dry tons",thousand metric dry tons,6000.0,6100.0,,,,,2000000,,2000000.0,Jamaica
MCS2025,Bauxite,Kazakhstan,"Mine production, bauxite, dry tons",thousand metric dry tons,4560.0,4900.0,,,,,280000,,280000.0,Kazakhstan
MCS2025,Bauxite,Russia ,"Mine production, bauxite, dry tons",thousand metric dry tons,5800.0,6300.0,estimated 2023,,,,480000,,480000.0,Russia
MCS2025,Bauxite,Saudi Arabia,"Mine production, bauxite, dry tons",thousand metric dry tons,5400.0,5800.0,estimated 2023,,,,180000,,180000.0,Saudi Arabia
MCS2025,Bauxite,Spain,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,,,Spain
MCS2025,Bauxite,Turkey,"Mine production, bauxite, dry tons",thousand metric dry tons,2940.0,3200.0,,,,,69000,,69000.0,Turkey
MCS2025,Bauxite,United Arab Emirates,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,,,United Arab Emirates
MCS2025,Bauxite,Vietnam,"Mine production, bauxite, dry tons",thousand metric dry tons,3920.0,4200.0,estimated 2023,,,,3100000,,3100000.0,Vietnam
MCS2025,Beryllium,United States,"Mine production, beryllium content",metric tons,185.0,180.0,,,,,,,,United States
MCS2025,Beryllium,Brazil,"Mine production, beryllium content",metric tons,40.0,80.0,estimated 2023,,,,,,,Brazil
MCS2025,Beryllium,China,"Mine production, beryllium content",metric tons,74.0,77.0,estimated 2023,,,,,,,China
MCS2025,Beryllium,Madagascar,"Mine production, beryllium content",metric tons,1.0,1.0,estimated 2023,,,,,,,Madagascar
MCS2025,Beryllium,Mozambique,"Mine production, beryllium content",metric tons,23.0,24.0,,,,,,,,Mozambique
MCS2025,Beryllium,Rwanda,"Mine production, beryllium content",metric tons,1.0,1.0,estimated 2023,,,,,,,Rwanda
MCS2025,Beryllium,Uganda,"Mine production, beryllium content",metric tons,1.0,1.0,estimated 2023,,,,,,,Uganda
MCS2025,Bismuth,United States,Refinery production,metric tons,,,,,,,,,,United States
MCS2025,Bismuth,Bolivia,Refinery production,metric tons,68.0,70.0,,,,,,,,Bolivia
MCS2025,Bismuth,Bulgaria,Refinery production,metric tons,46.0,50.0,,,,,,,,Bulgaria
MCS2025,Bismuth,China,Refinery production,metric tons,13300.0,13000.0,,,,,,,,China
MCS2025,Bismuth,Japan,Refinery production,metric tons,500.0,500.0,,,,,,,,Japan
MCS2025,Bismuth,Kazakhstan,Refinery production,metric tons,180.0,180.0,,,,,,,,Kazakhstan
MCS2025,Bismuth,"Korea, Republic of",Refinery production,metric tons,1000.0,1000.0,,,,,,,,"Korea, Republic of"
MCS2025,Bismuth,Laos,Refinery production,metric tons,1150.0,1100.0,reported,,,,,,,Laos
MCS2025,Boron,United States,Boron all types,thousand metric tons,,,W for 23-24,,,,48000,,48000.0,United States
MCS2025,Boron,Argentina,Boron all types,thousand metric tons,160.0,160.0,Crude ore,,,,,,,Argentina
MCS2025,Boron,Bolivia,Boron all types,thousand metric tons,140.0,230.0,Ulexite,,,,,,,Bolivia
MCS2025,Boron,Chile,Boron all types,thousand metric tons,420.0,420.0,Ulexite,,,,35000,,35000.0,Chile
MCS2025,Boron,China,Boron all types,thousand metric tons,300.0,340.0,boric oxide equivalent,,,,9100,,9100.0,China
MCS2025,Boron,Germany,Boron all types,thousand metric tons,38.0,40.0,compounds,,,,,,,Germany
MCS2025,Boron,Peru,Boron all types,thousand metric tons,300.0,300.0,crude borates,,,,4000,,4000.0,Peru
MCS2025,Boron,Russia,Boron all types,thousand metric tons,80.0,80.0,datolite ore,,,,40000,,40000.0,Russia
MCS2025,Boron,Turkey,Boron all types,thousand metric tons,2500.0,3000.0,refined borates,,,,950000,,950000.0,Turkey
MCS2025,Bromine,United States,"Production, bromine content, estimated",metric tons,,,W for 23-24,,,,11000000,,11000000.0,United States
MCS2025,Bromine,China,"Production, bromine content, estimated",metric tons,101000.0,100000.0,Reported,,,,130000,,130000.0,China
MCS2025,Bromine,India,"Production, bromine content, estimated",metric tons,6900.0,7000.0,,,,,,,,India
MCS2025,Bromine,Israel,"Production, bromine content, estimated",metric tons,143000.0,140000.0,Reported,,,,,Large,,Israel
MCS2025,Bromine,Japan,"Production, bromine content, estimated",metric tons,20000.0,20000.0,,,,,,,,Japan
MCS2025,Bromine,Jordan,"Production, bromine content, estimated",metric tons,116000.0,120000.0,Reported,,,,360000,,360000.0,Jordan
MCS2025,Bromine,Ukraine,"Production, bromine content, estimated",metric tons,8000.0,8000.0,,,,,,,,Ukraine
MCS2025,Cadmium,United States,"Refinery production, estimated",metric tons,375.0,300.0,reported,,,,,Quantitative estimates of reserves were not available. The cadmium content of typical zinc ores averages about 0.03%. See the Zinc chapter for zinc reserves.,,United States
MCS2025,Cadmium,Australia,"Refinery production, estimated",metric tons,900.0,900.0,,,,,,,,Australia
MCS2025,Cadmium,Bulgaria,"Refinery production, estimated",metric tons,310.0,300.0,,,,,,,,Bulgaria
MCS2025,Cadmium,Canada ,"Refinery production, estimated",metric tons,1800.0,1700.0,,,,,,,,Canada
MCS2025,Cadmium,China,"Refinery production, estimated",metric tons,9300.0,9300.0,,,,,,,,China
MCS2025,Cadmium,Germany,"Refinery production, estimated",metric tons,,170.0, ,,,,,,,Germany
MCS2025,Cadmium,Japan,"Refinery production, estimated",metric tons,1800.0,1700.0,,,,,,,,Japan
MCS2025,Cadmium,Kazakhstan,"Refinery production, estimated",metric tons,1000.0,1000.0,,,,,,,,Kazakhstan
MCS2025,Cadmium,"Korea, Republic of","Refinery production, estimated",metric tons,4500.0,4500.0,,,,,,,,"Korea, Republic of"
MCS2025,Cadmium,Mexico,"Refinery production, estimated",metric tons,1020.0,1200.0,reported,,,,,,,Mexico
MCS2025,Cadmium,Netherlands,"Refinery production, estimated",metric tons,726.0,400.0,reported,,,,,,,Netherlands
MCS2025,Cadmium,Norway,"Refinery production, estimated",metric tons,420.0,350.0,,,,,,,,Norway
MCS2025,Cadmium,Peru,"Refinery production, estimated",metric tons,494.0,620.0,reported,,,,,,,Peru
MCS2025,Cadmium,Poland,"Refinery production, estimated",metric tons,250.0,250.0,,,,,,,,Poland
MCS2025,Cadmium,Russia ,"Refinery production, estimated",metric tons,1000.0,800.0,,,,,,,,Russia
MCS2025,Cadmium,Uzbekistan,"Refinery production, estimated",metric tons,220.0,200.0,,,,,,,,Uzbekistan
MCS2025,Cement,United States (includes Puerto Rico),"Cement production, estimated",thousand metric tons,90000.0,86000.0,,,,,,,,United States
MCS2025,Cement,Brazil,"Cement production, estimated",thousand metric tons,67000.0,68000.0,,,,,,,,Brazil
MCS2025,Cement,China,"Cement production, estimated",thousand metric tons,2000000.0,1900000.0,,,,,,,,China
MCS2025,Cement,Egypt,"Cement production, estimated",thousand metric tons,52000.0,50000.0,,,,,,,,Egypt
MCS2025,Cement,India,"Cement production, estimated",thousand metric tons,420000.0,450000.0,,,,,,,,India
MCS2025,Cement,Indonesia,"Cement production, estimated",thousand metric tons,67000.0,65000.0,,,,,,,,Indonesia
MCS2025,Cement,Iran,"Cement production, estimated",thousand metric tons,71000.0,72000.0,,,,,,,,Iran
MCS2025,Cement,Japan,"Cement production, estimated",thousand metric tons,48000.0,46000.0,,,,,,,,Japan
MCS2025,Cement,"Korea, Republic of","Cement production, estimated",thousand metric tons,51000.0,52000.0,,,,,,,,"Korea, Republic of"
MCS2025,Cement,Mexico,"Cement production, estimated",thousand metric tons,48000.0,48000.0,,,,,,,,Mexico
MCS2025,Cement,Russia ,"Cement production, estimated",thousand metric tons,63000.0,65000.0,,,,,,,,Russia
MCS2025,Cement,Saudi Arabia,"Cement production, estimated",thousand metric tons,49000.0,50000.0,,,,,,,,Saudi Arabia
MCS2025,Cement,Turkey,"Cement production, estimated",thousand metric tons,81000.0,82000.0,,,,,,,,Turkey
MCS2025,Cement,Vietnam,"Cement production, estimated",thousand metric tons,110000.0,110000.0,,,,,,,,Vietnam
MCS2025,Cement,United States (includes Puerto Rico),"Clinker capacity, estimated",thousand metric tons,100000.0,100000.0,,,,,,,,United States
MCS2025,Cement,Brazil,"Clinker capacity, estimated",thousand metric tons,60000.0,60000.0,,,,,,,,Brazil
MCS2025,Cement,China,"Clinker capacity, estimated",thousand metric tons,2000000.0,1900000.0,,,,,,,,China
MCS2025,Cement,Egypt,"Clinker capacity, estimated",thousand metric tons,60000.0,60000.0,,,,,,,,Egypt
MCS2025,Cement,India,"Clinker capacity, estimated",thousand metric tons,300000.0,380000.0,,,,,,,,India
MCS2025,Cement,Indonesia,"Clinker capacity, estimated",thousand metric tons,79000.0,79000.0,,,,,,,,Indonesia
MCS2025,Cement,Iran,"Clinker capacity, estimated",thousand metric tons,81000.0,85000.0,,,,,,,,Iran
MCS2025,Cement,Japan,"Clinker capacity, estimated",thousand metric tons,54000.0,50000.0,,,,,,,,Japan
MCS2025,Cement,"Korea, Republic of","Clinker capacity, estimated",thousand metric tons,62000.0,62000.0,,,,,,,,"Korea, Republic of"
MCS2025,Cement,Mexico,"Clinker capacity, estimated",thousand metric tons,42000.0,42000.0,,,,,,,,Mexico
MCS2025,Cement,Russia ,"Clinker capacity, estimated",thousand metric tons,80000.0,80000.0,,,,,,,,Russia
MCS2025,Cement,Saudi Arabia,"Clinker capacity, estimated",thousand metric tons,75000.0,75000.0,,,,,,,,Saudi Arabia
MCS2025,Cement,Turkey,"Clinker capacity, estimated",thousand metric tons,92000.0,92000.0,,,,,,,,Turkey
MCS2025,Cement,Vietnam,"Clinker capacity, estimated",thousand metric tons,110000.0,110000.0,,,,,,,,Vietnam
MCS2025,Chromium,United States,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,,,,,,,630,Shipping grade,630.0,United States
MCS2025,Chromium,Brazil,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,1420.0,1400.0,,,,,6600,,6600.0,Brazil
MCS2025,Chromium,Finland,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,1910.0,1900.0,,,,,8300,,8300.0,Finland
MCS2025,Chromium,India,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,4100.0,4100.0,estimated 2023,,,,79000,,79000.0,India
MCS2025,Chromium,Kazakhstan,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,6000.0,6500.0,estimated 2023,,,,320000,,320000.0,Kazakhstan
MCS2025,Chromium,South Africa ,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,19700.0,21000.0,,,,,200000,,200000.0,South Africa
MCS2025,Chromium,Turkey,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,8160.0,8000.0,,,,,27000,,27000.0,Turkey
MCS2025,Chromium,Zimbabwe,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,1070.0,1100.0,,,,,540000,,540000.0,Zimbabwe
MCS2025,Clays,United States,"Mine poduction, Bentonite",thousand metric tons,4360.0,4800.0,,,,,,,,United States
MCS2025,Clays,Brazil (beneficiated),"Mine poduction, Bentonite",thousand metric tons,386.0,390.0,,,,,,,,Brazil
MCS2025,Clays,China,"Mine poduction, Bentonite",thousand metric tons,2100.0,2100.0,estimated 2023,,,,,,,China
MCS2025,Clays,Czechia,"Mine poduction, Bentonite",thousand metric tons,196.0,200.0,,,,,,,,Czechia
MCS2025,Clays,Denmark ,"Mine poduction, Bentonite",thousand metric tons,925.0,930.0,estimated 2023,,,,,,,Denmark
MCS2025,Clays,Greece,"Mine poduction, Bentonite",thousand metric tons,1100.0,1100.0,Includes production of crude ore,,,,,,,Greece
MCS2025,Clays,India,"Mine poduction, Bentonite",thousand metric tons,3700.0,3700.0,estimated 2023,,,,,,,India
MCS2025,Clays,Iran,"Mine poduction, Bentonite",thousand metric tons,850.0,850.0,estimated 2023,,,,,,,Iran
MCS2025,Clays,Mexico,"Mine poduction, Bentonite",thousand metric tons,79.0,80.0,estimated 2023,,,,,,,Mexico
MCS2025,Clays,Russia ,"Mine poduction, Bentonite",thousand metric tons,36.0,40.0,estimated 2023,,,,,,,Russia
MCS2025,Clays,Senegal,"Mine poduction, Bentonite",thousand metric tons,,,,,,,,,,Senegal
MCS2025,Clays,Spain,"Mine poduction, Bentonite",thousand metric tons,118.0,120.0,,,,,,,,Spain
MCS2025,Clays,Turkey,"Mine poduction, Bentonite",thousand metric tons,2490.0,2500.0,,,,,,,,Turkey
MCS2025,Clays,Uzbekistan,"Mine poduction, Bentonite",thousand metric tons,60.0,60.0,estimated 2023,,,,,,,Uzbekistan
MCS2025,Clays,United States,"Mine poduction, Fuller's earth",thousand metric tons,2260.0,2400.0,Does not include U.S. production of attapulgite,,,,,,,United States
MCS2025,Clays,Greece,"Mine poduction, Fuller's earth",thousand metric tons,49.0,50.0,,,,,,,,Greece
MCS2025,Clays,India,"Mine poduction, Fuller's earth",thousand metric tons,730.0,730.0,estimated 2023,,,,,,,India
MCS2025,Clays,Mexico,"Mine poduction, Fuller's earth",thousand metric tons,120.0,120.0,,,,,,,,Mexico
MCS2025,Clays,Senegal,"Mine poduction, Fuller's earth",thousand metric tons,150.0,150.0,estimated 2023,,,,,,,Senegal
MCS2025,Clays,Spain,"Mine poduction, Fuller's earth",thousand metric tons,620.0,620.0,,,,,,,,Spain
MCS2025,Clays,Turkey,"Mine poduction, Fuller's earth",thousand metric tons,74.0,70.0,,,,,,,,Turkey
MCS2025,Clays,United States,"Mine poduction, Kaolin",thousand metric tons,4560.0,4500.0,estimated 2023,,,,,,,United States
